Tid,Temperatur (°C),Vind (m/s),Vindkast,Værforhold
2024-03-23T11:00:00.000,20.5,2.6,"→,vest",Regn
2024-03-23T12:00:00.000,21.7,3.8,"→,vest",Kraftig regn
2024-03-23T13:00:00.000,18.3,3.4,"↗,sørvest",Skyet
2024-03-23T14:00:00.000,19.7,2.6,"↗,sørvest",Lett regn
2024-03-23T15:00:00.000,18.4,2.9,"↗,sørvest",Skyet
2024-03-23T16:00:00.000,16.8,2.4,"↗,sørvest",Skyet
2024-03-23T17:00:00.000,15.2,2.2,"→,vest",Skyet
2024-03-23T18:00:00.000,16,2,"↘,nordvest",Skyet
2024-03-23T19:00:00.000,16.9,1.9,"→,vest",Skyet
2024-03-23T20:00:00.000,16.1,1.7,"→,vest",Skyet
2024-03-23T21:00:00.000,14.5,2.3,"→,vest",Skyet
2024-03-23T22:00:00.000,14.3,2.5,"→,vest",Skyet
2024-03-23T23:00:00.000,14.5,2.3,"→,vest",Skyet
2024-03-24T00:00:00.000,15.7,1.8,"→,vest",Skyet
2024-03-24T01:00:00.000,15.5,1.7,"↗,sørvest",Delvis skyet
2024-03-24T02:00:00.000,15.4,1.8,"↗,sørvest",Delvis skyet
2024-03-24T03:00:00.000,15.4,1.8,"↗,sørvest",Delvis skyet
2024-03-24T04:00:00.000,15.2,1.8,"↗,sørvest",Delvis skyet
2024-03-24T05:00:00.000,17.8,2.4,"↗,sørvest",Klarvær
2024-03-24T06:00:00.000,19.5,2.8,"↗,sørvest",Delvis skyet
2024-03-24T07:00:00.000,21.2,3.6,"↗,sørvest",Lettskyet
2024-03-24T08:00:00.000,22.9,4.7,"↗,sørvest",Klarvær
2024-03-24T09:00:00.000,23.8,5.7,"→,vest",Delvis skyet
2024-03-24T10:00:00.000,23.3,6.8,"→,vest",Delvis skyet
